Fecha;Hora;Tension;Intensidad;F.Potencia;P.Activa;P.Aparente;Energia
22/07/2021;0;0.07;229.46;0.29;4.91;17.15;0.0
22/07/2021;1;0.07;228.64;0.28;4.73;17.0;0.0
22/07/2021;2;0.08;230.94;0.29;4.99;17.4;0.0
22/07/2021;3;2.03;231.58;0.41;457.0;464.46;0.00014
22/07/2021;4;11.13;227.71;1.01;2551.73;2535.49;0.00071
22/07/2021;5;11.03;228.35;1.01;2535.61;2519.44;0.00069
22/07/2021;6;0.65;231.3;0.38;138.81;149.5;0.00003
22/07/2021;7;0.53;230.44;0.36;111.07;122.11;0.00003
22/07/2021;8;0.08;229.54;0.29;5.04;17.44;0.0
22/07/2021;9;0.08;229.47;0.29;5.11;17.47;0.0
22/07/2021;10;0.08;228.1;0.29;4.97;17.26;0.0
22/07/2021;11;0.07;227.23;0.28;4.82;17.04;0.0
22/07/2021;12;0.07;226.46;0.28;4.79;16.91;0.0
22/07/2021;13;0.07;226.08;0.28;4.78;16.89;0.0
22/07/2021;14;0.07;225.82;0.28;4.67;16.79;0.0
22/07/2021;15;0.07;225.33;0.28;4.71;16.85;0.0
22/07/2021;16;0.07;225.84;0.28;4.68;16.93;0.0
22/07/2021;17;0.08;227.65;0.28;4.75;17.12;0.0
22/07/2021;18;0.08;229.03;0.28;4.92;17.38;0.0
22/07/2021;19;0.08;230.46;0.29;5.02;17.58;0.0
22/07/2021;20;0.08;229.23;0.29;5.0;17.49;0.0
22/07/2021;21;0.08;226.35;0.29;4.97;17.21;0.0
22/07/2021;22;0.08;227.55;0.28;4.82;17.29;0.0
;;;;;;;
